Task,Category
Complete final exam registration,Important & Urgent
Submit thesis draft to advisor,Important & Urgent
Pay tuition fee deadline,Important & Urgent
Complete lab experiment report,Important & Urgent
Submit plagiarism declaration,Important & Urgent
Schedule oral defense meeting,Important & Urgent
Submit course drop request,Important & Urgent
Complete midterm makeup exam,Important & Urgent
Submit grade appeal form,Important & Urgent
Complete dormitory checkout,Important & Urgent
Submit research ethics approval,Important & Urgent
Complete academic integrity quiz,Important & Urgent
Submit visa extension documents,Important & Urgent
Complete prerequisite waiver,Important & Urgent
Submit degree audit request,Important & Urgent
Research thesis topics,Important & Not Urgent
Develop research methodology,Important & Not Urgent
Read academic journals,Important & Not Urgent
Practice statistical analysis,Important & Not Urgent
Build academic references,Important & Not Urgent
Learn citation styles,Important & Not Urgent
Improve academic writing,Important & Not Urgent
Study research methods,Important & Not Urgent
Practice data analysis,Important & Not Urgent
Learn reference management,Important & Not Urgent
Build laboratory skills,Important & Not Urgent
Practice peer review,Important & Not Urgent
Learn academic software,Important & Not Urgent
Study research ethics,Important & Not Urgent
Build academic vocabulary,Important & Not Urgent
Practice research design,Important & Not Urgent
Learn data visualization,Important & Not Urgent
Study experimental design,Important & Not Urgent
Practice academic debate,Important & Not Urgent
Learn academic publishing,Important & Not Urgent
Update class attendance,Not Important & Urgent
Submit club reimbursement,Not Important & Urgent
Book laboratory time,Not Important & Urgent
Schedule peer review,Not Important & Urgent
Submit printer credits,Not Important & Urgent
Reserve presentation room,Not Important & Urgent
Update student portal,Not Important & Urgent
Schedule counseling session,Not Important & Urgent
Submit locker request,Not Important & Urgent
Book equipment rental,Not Important & Urgent
Update meal plan,Not Important & Urgent
Schedule campus tour,Not Important & Urgent
Submit club budget,Not Important & Urgent
Book sports facility,Not Important & Urgent
Update student insurance,Not Important & Urgent
Schedule library workshop,Not Important & Urgent
Submit volunteer hours,Not Important & Urgent
Book career counseling,Not Important & Urgent
Update campus card,Not Important & Urgent
Schedule faculty meeting,Not Important & Urgent
Organize lecture recordings,Not Important & Not Urgent
Create study flashcards,Not Important & Not Urgent
Update assignment tracker,Not Important & Not Urgent
Design revision timetable,Not Important & Not Urgent
Organize digital textbooks,Not Important & Not Urgent
Create subject folders,Not Important & Not Urgent
Design note-taking system,Not Important & Not Urgent
Organize study guides,Not Important & Not Urgent
Create exam schedules,Not Important & Not Urgent
Design assignment calendar,Not Important & Not Urgent
Organize research papers,Not Important & Not Urgent
Create citation library,Not Important & Not Urgent
Design project timeline,Not Important & Not Urgent
Organize course materials,Not Important & Not Urgent
Create reading schedule,Not Important & Not Urgent
Design study roadmap,Not Important & Not Urgent
Organize academic papers,Not Important & Not Urgent
Create revision guides,Not Important & Not Urgent
Design study planner,Not Important & Not Urgent
Organize course notes,Not Important & Not Urgent
Sort lecture slides,Not Important & Not Urgent
Organize practice tests,Not Important & Not Urgent
Create concept maps,Not Important & Not Urgent
Design study schedule,Not Important & Not Urgent
Organize lab reports,Not Important & Not Urgent
Create assignment checklist,Not Important & Not Urgent
Design research log,Not Important & Not Urgent
Organize reference lists,Not Important & Not Urgent
Create study summaries,Not Important & Not Urgent
Design revision plan,Not Important & Not Urgent
Organize past papers,Not Important & Not Urgent
Create topic outlines,Not Important & Not Urgent
Design study tracker,Not Important & Not Urgent
Organize course syllabus,Not Important & Not Urgent
Create exam timetable,Not Important & Not Urgent
Design study template,Not Important & Not Urgent
Organize study materials,Not Important & Not Urgent
Create revision notes,Not Important & Not Urgent
Design learning path,Not Important & Not Urgent
Organize course readings,Not Important & Not Urgent
Create study checklist,Not Important & Not Urgent
Design review schedule,Not Important & Not Urgent
Organize study resources,Not Important & Not Urgent
