Task,Category
design office floor plan,not-urgent not-important
create email template for client response,not-urgent important
complete math homework,urgent important
clean up physical workspace,not-urgent not-important
call it support,
try a new restaurant,not-urgent not-important
schedule social medium post,urgent not-important
test new productivity apps,not-urgent not-important
schedule time for physical activity,not-urgent important
review university’s anti-discrimination policy,not-urgent not-important
organize digital file,not-urgent not-important
practice research design,not-urgent important
submit the technical documentation for the software project,urgent important
submit visa extension document,urgent important
sign up for extra credit,urgent not-important
check library hour,not-urgent not-important
reorganize bookmark,not-urgent not-important
take a medicine,urgent important
prepare the financial report due next day,urgent important
coordinate the update for tonight’s client meeting,urgent important
"catch up on light, non-energy intensive task (e.g., emails, reading)",not-urgent important
book the study room in the library,urgent not-important
contact payroll department,urgent not-important
check for office productivity apps to download,not-urgent not-important
confirm client meeting detail,urgent important
update playlist order,not-urgent not-important
submit the finalized route plan for distribution operation,urgent important
arrange office supply restock,urgent not-important
list lunch option,
prepare monthly sale report,urgent important
volunteer at local animal shelter,not-urgent important
schedule a meeting with an academic advisor,not-urgent important
respond to the supplier’s inquiry about payment delay,urgent important
confirm meeting time with team,urgent not-important
organize course reading,not-urgent not-important
get headphone for meeting,urgent not-important
browse desk organizer,not-urgent not-important
prepare the executive summary for the board meeting,urgent important
schedule training session,not-urgent important
have a coffee break,not-urgent not-important
watch educational ted talk for inspiration,not-urgent not-important
create marketing plan,not-urgent important
plan a picnic,not-urgent not-important
watch recorded lecture,not-urgent important
organize desk drawer,not-urgent not-important
send team reminder,urgent not-important
plan next quarter's budget,not-urgent important
complete online test before midnight,urgent important
review payroll report,urgent important
rest and get enough sleep,urgent important
send agenda for meeting,urgent not-important
sign up for campus event,urgent not-important
complete the checklist for tomorrow’s training session,urgent important
check discussion board reply,urgent not-important
update study goal list,not-urgent not-important
review the internal audit report,urgent important
submit government tender proposal,urgent important
check if the power is restored after the outage,urgent not-important
check status of internal task,urgent not-important
respond to the urgent query from the legal team,urgent important
build professional network,not-urgent important
organize study supply,not-urgent not-important
update playlist cover,not-urgent not-important
spend time browsing online shop for fun,not-urgent not-important
back up data on cloud storage,not-urgent important
optimize and fine-tune model for better accuracy,not-urgent important
write a list of goal to accomplish in the next 3 month,not-urgent important
review note and summary,not-urgent important
review the revised architecture plan before tomorrow morning,urgent important
personal goal setting,not-urgent important
check class attendance for missing student,urgent not-important
plan a study schedule for final,not-urgent important
finalize recruitment document for review,not-urgent important
review browser extension,not-urgent not-important
write and publish press release,urgent important
set goal for the next quarter,not-urgent important
read about internship experience from university student,not-urgent not-important
check out local event online,not-urgent not-important
check if graduation requirement are met,urgent not-important
schedule lunch with client,urgent not-important
check wi-fi in meeting room,urgent not-important
draft new customer support guideline,not-urgent important
plan a weekend trip to attend an academic conference,not-urgent important
learn public speaking,not-urgent important
create content calendar,not-urgent important
spend time with family and friend,not-urgent important
check linkedin notification,not-urgent not-important
submit the finalized blueprint for project approval,urgent important
practice presentation for class,urgent important
revisit your note before next class meeting,urgent not-important
review the note for the end-of-term exam,urgent important
prepare flashcard for vocabulary,not-urgent important
organize your email into folder,not-urgent important
check exam schedule,urgent not-important
attend library study session,not-urgent not-important
review the quality assurance report before approval,urgent important
organize desk file,urgent not-important
organize your office supply drawer,not-urgent not-important
respond to job application inquiry,urgent not-important
browse study podcasts,not-urgent not-important
prepare meeting note,urgent not-important
read pending work message,urgent not-important
create a weekly study schedule and stick to it,not-urgent important
schedule software training session,not-urgent important
pick lunch spot,
send follow-up email to advisor,urgent not-important
take the pet to the vet for the checkup,urgent important
cook healthy meal,not-urgent important
practice sample test question,not-urgent important
review feedback from assignment and improve performance,urgent important
submit the application for the graduate program,urgent important
design study template,not-urgent not-important
organize monthly company lunch,not-urgent not-important
create revision note,not-urgent not-important
send a casual invite,
organize reference material,not-urgent not-important
research potential vendor,not-urgent important
clean recycle bin,not-urgent not-important
design study roadmap,not-urgent not-important
do some gardening,not-urgent not-important
review past assignment,not-urgent important
ask professor for office hour,urgent not-important
organize team resource,not-urgent not-important
prepare annual review document,not-urgent important
browse through student discount program for discount,not-urgent not-important
explore online academic forum related to your field,not-urgent not-important
approve the marketing budget for next month,urgent important
compile feedback from the team workshop,not-urgent important
attend industry trade show,not-urgent important
organize your desk with better storage solution,not-urgent not-important
follow up with lead,urgent not-important
recharge portable battery,
negotiate contract with vendor,urgent important
draft quarterly progress update,not-urgent important
create an implementation timeline for the new operational process,urgent important
submit the updated financial projection to management,urgent important
complete academic integrity quiz,urgent important
schedule medical appointment,urgent important
organize shared drawer,
arrange visitor parking pass,urgent not-important
draft the meeting agenda for tomorrow morning's discussion,urgent important
take a practice quiz,not-urgent important
look into updating the office inventory for supply,urgent not-important
create marketing campaign for new product,urgent important
check feedback on assignment,urgent not-important
create subject folder,not-urgent not-important
update business plan,not-urgent important
submit attendance form,urgent not-important
complete the risk assessment for the upcoming event,urgent important
review office meeting minute from last month,not-urgent not-important
review your academic performance this semester,not-urgent important
set goal for improving time management skill,not-urgent important
review proposal submitted by vendor,not-urgent important
complete the annual performance review for all employee,urgent important
schedule a quick follow-up call for the marketing campaign,urgent not-important
review lab safety guideline,not-urgent important
finalize the vendor arrangement for the charity event,urgent important
reserve presentation room,urgent not-important
arrange desk toy,
proofread marketing material,urgent important
schedule oral defense meeting,urgent important
clean up shared drive file,not-urgent not-important
respond to client inquiry,urgent important
set reminder for project check-in,not-urgent important
read online article about travel,not-urgent not-important
attend professor's office hour,not-urgent important
review and update personal goal,not-urgent important
submit the revised marketing strategy for approval,urgent important
finalize layout design for the newsletter,not-urgent important
review lecture slide,not-urgent important
optimize pricing strategy,not-urgent important
prepare presentation slide,not-urgent important
prepare the documentation for the upcoming audit,urgent important
send the email reminder about the project deadline,urgent important
write poetry or short story,not-urgent important
organize photo and memory on phone,not-urgent important
analyze website traffic,not-urgent important
review the feedback on the fundraising campaign report,urgent important
order office supply,urgent not-important
send the project update to stakeholder before the meeting,urgent important
follow up on partnership inquiry,urgent important
buy supply for upcoming school project,not-urgent important
submit expense report,urgent important
attend religious service,not-urgent important
ask for research paper feedback,urgent not-important
coordinate the logistics for the conference next week,urgent important
explore funny post on reddit,not-urgent not-important
look for a tutoring session for difficult subject,urgent not-important
finish quarterly report,urgent important
arrange team lunch,urgent not-important
arrange software installation for computer,urgent not-important
review the recruitment strategy for upcoming role,urgent important
complete extra credit assignment,not-urgent not-important
check gpa on portal,urgent not-important
learn new software skill,not-urgent important
fix the server issue that is affecting the website,urgent important
address the urgent data breach notification by today,urgent important
review the urgent appeal case documentation,urgent important
schedule regular time for self-care and relaxation during study session,not-urgent important
attend webinar,not-urgent important
check available time for conference call,urgent not-important
develop 5-year strategic plan,not-urgent important
organize file,not-urgent not-important
create positive brand experience,not-urgent important
update study aesthetic,not-urgent not-important
plan your next office event,not-urgent not-important
finalize event detail,urgent important
organize the file for the quarterly compliance audit,urgent important
donate blood,not-urgent important
study past quiz,not-urgent important
review recent team performance data,not-urgent important
schedule maintenance for office equipment,urgent not-important
schedule performance review,not-urgent important
gather material for the workshop next month,not-urgent important
complete the task for the research project group,urgent important
review the contract amendment tonight,urgent important
schedule quarterly review meeting,not-urgent important
organize study material by subject,not-urgent not-important
organize academic paper,not-urgent not-important
prepare question for class,not-urgent important
send reminder to submit work hour,urgent not-important
participate in class discussion,urgent important
watch study tip video for better learning technique,not-urgent not-important
play video game,not-urgent not-important
submit club attendance,urgent not-important
join an online course to learn a new skill,not-urgent important
revisit an old hobby,not-urgent not-important
check out upcoming university conference and exhibition,not-urgent not-important
prepare for upcoming meeting,not-urgent important
customize folder icon,not-urgent not-important
take a walk to explore a new neighborhood,not-urgent important
audit database for outdated information,not-urgent important
check submission deadline for essay,urgent not-important
arrange monthly bulletin,
prepare the test result for submission by next day,urgent important
review office supply inventory,urgent not-important
sleep and take short nap to boost recovery,urgent important
download the latest lecture slide for review,urgent not-important
respond to email inquiry,urgent important
try a new cooking recipe,not-urgent important
buy snack,urgent not-important
prepare the summary for the client call tomorrow afternoon,urgent important
look for campus job opening,urgent not-important
network with professional,not-urgent important
scroll through feed,not-urgent not-important
schedule study group,urgent not-important
review cloud storage,not-urgent not-important
proofread essay before submission,urgent important
respond to low-priority email inquiry,urgent not-important
create budget allocation spreadsheet,not-urgent important
submit the thesis by the deadline,urgent important
browse study motivation account,not-urgent not-important
submit grade appeal form,urgent important
build writing skill,not-urgent important
organize upcoming team event,not-urgent important
prepare workshop material,urgent important
ask the librarian if a reserved book is available for pickup,urgent not-important
review new project proposal,not-urgent important
plan a networking event with classmate for future career growth,not-urgent important
check out local event happening this weekend,not-urgent not-important
avoid strenuous activity and focus on full recovery,not-urgent important
prepare a list of movie to watch,not-urgent important
arrange lunch with client,urgent not-important
attend volunteer information session,not-urgent not-important
confirm receipt of package,
review lab requirement,urgent not-important
ensure compliance with legal or regulatory requirement,not-urgent important
plan out your study schedule for the next month,not-urgent not-important
arrange for pest control service at home,urgent important
confirm meeting location,urgent not-important
organize study guide,not-urgent not-important
submit the proposal for the local environmental initiative,urgent important
create diversity inclusion framework,not-urgent important
get back-up document ready,urgent not-important
complete the audit preparation before tomorrow evening,urgent important
submit housing application,urgent important
stay in touch with colleague or classmate for important update,not-urgent important
arrange delivery for office supply before weekend,urgent not-important
look for home decoration idea,not-urgent not-important
research student organization related to your major,not-urgent not-important
review next quarter's strategic plan,not-urgent important
respond to the emergency maintenance request from tenant,urgent important
review class note,not-urgent important
call the vet to schedule the pet’s vaccination appointment,urgent important
browse mouse pad,not-urgent not-important
check team availability for meeting,urgent not-important
organize office file,
sign up for campus networking event,urgent not-important
book appointment for dental check-up,urgent not-important
check out new research paper in your field of study,not-urgent important
